id	filename	md5	size	state
ff5f8ada-17c5-497e-9182-63a05e3ab4c5	64b12ba7-a481-4fdb-9c74-38c94c7ef3c9.rna_seq.augmented_star_gene_counts.tsv	e0746cf579c06c091575742c3c4837ce	4234675	released
d240cdef-e1a3-481f-a0d5-895d7cc5cabd	f7df28a8-81d0-434a-bfcf-0ffff4ac9ede.rna_seq.augmented_star_gene_counts.tsv	36ce1a60fade093ecd91ac18151fdaab	4248801	released
b93b04d3-7526-4d65-bc15-0148e75ac225	2244c5e8-a873-4e29-abb7-e869a7d79e3f.rna_seq.augmented_star_gene_counts.tsv	9e79821ad33e1f220332a4aa75a2ba0f	4243325	released
b0fc63c9-c4aa-4206-8636-47245f510cff	8d66b5ac-4ceb-40a3-b2b9-4d0c24be01a7.rna_seq.augmented_star_gene_counts.tsv	0143139e3b4327995e5e58c2ddb2b2dd	4228344	released
ce53c8d2-5655-4fde-b134-1ef5a269e569	078420d8-5079-4a98-81d7-3a4b84e9d0ad.rna_seq.augmented_star_gene_counts.tsv	74928451a13b28d75dd7ba705d2accd8	4218046	released
a629c407-5141-454c-bb69-ba7e58d1febc	5a277308-f1bc-47b3-a397-aeabe9db8dc6.rna_seq.augmented_star_gene_counts.tsv	ebcd993f94f6ecdd485420e86c3c38d1	4236454	released
469c052c-d2c8-4626-af1c-7276653168fe	f738acc1-0445-49e0-a279-3469620c8d4a.rna_seq.augmented_star_gene_counts.tsv	48acbdb33e01f8789e202bc5bbc873c2	4237018	released
ec9437c2-dad0-471a-bd2c-faa61846af57	fb120cb4-2cee-4848-a60e-6c1fba723dc9.rna_seq.augmented_star_gene_counts.tsv	4d151583ad711eb77ee79a83c7660543	4218779	released
430184b1-040d-4b3a-863d-1e6c71009d93	73729b89-4802-4780-9e7f-cb160a04bb17.rna_seq.augmented_star_gene_counts.tsv	057325b61fba0dadaffe50c2125b7883	4219010	released
98320692-9c1c-4ed3-9ea1-72f098c03049	7880b3ba-9f39-4744-be72-b87dbd8eb425.rna_seq.augmented_star_gene_counts.tsv	be35f7c5ec5dc1b050d94b60b856840e	4233158	released
